Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Exp_Time,Exp_Current,Exp_Voltage,Exp_Temperature,Exp_Cell_Type
1.0,2595.3,1151.4885,3.67,3.211,5460.001,6755.01,10777.82,1112,0.0,2.1587039,2.9996068,26.384377,Fresh
2.0,7408.64,1172.5125000000007,4.246,3.22,5508.991999999998,6762.02,10500.35,1111,1.0,2.2876738,2.9994066,26.227879,Fresh
3.0,7393.76,1112.991999999991,4.249,3.224,5508.993000000002,6762.02,10420.38,1110,2.0,2.2282798,2.9997571,26.449251,Fresh
4.0,7385.5,1080.3206666666665,4.25,3.225,5502.015999999996,6762.02,10322.81,1109,2.99999237060547,2.2248857,2.9998572,26.277494,Fresh
6.0,65022.75,29813.487,4.29,3.398,5480.992000000013,53213.54,56699.65,1107,4.0,2.1349463,2.9999576,26.380539,Fresh
7.0,3301.18,1194.2350769230688,3.674,3.504,5023.6336363636365,5977.38,5977.38,1106,5.0,2.148522,2.9994066,26.254581,Fresh
8.0,5955.3,1220.1353285714576,4.013,3.501,5017.494999999995,5967.55,5967.55,1105,6.0,2.1468252,2.9995568,26.262211,Fresh
9.0,5951.2,1220.1353285714576,4.014,3.501,5017.496000000014,5962.21,5962.21,1104,7.0,2.0789463,2.9994066,26.418709,Fresh
10.0,5945.44,1216.920914285729,4.014,3.501,5009.993666666647,5954.91,5954.91,1103,8.0,2.0670674,2.9994066,26.380539,Fresh
11.0,435251.49,263086.078,4.267,3.086,269.98399999999674,443700.02,443700.02,1102,9.0,2.0789463,2.9995568,26.143908,Fresh
12.0,3228.58,1135.3493333333172,3.689,3.485,5033.07569230767,5969.89,5969.89,1101,10.0,2.0925222,2.9995568,26.193523,Fresh
13.0,6019.9,1058.2797241378576,4.045,3.475,5053.842846153886,5980.77,5980.77,1100,11.0000076293945,2.1128855,2.9992561,26.327108,Fresh
14.0,6026.59,1049.487844827585,4.047,3.477,5046.429500000086,5966.82,5966.82,1099,11.9999923706055,2.0670674,2.999707,26.262211,Fresh
15.0,6008.07,1065.3720591132296,4.045,3.48,5033.075769230723,5954.47,5954.47,1098,13.0,-19.932451,3.1003382,26.17824,Fresh
16.0,423271.35,168773.265,4.27,3.108,219923.99600000004,430028.84,430028.84,1097,14.0,-20.000328,3.1121094,26.26605,Fresh
17.0,2261.34,883.1999999999534,4.038,3.901,1949.6640000001064,2922.69,6070.11,1096,15.0,-19.981662,3.121376,26.37291,Fresh
18.0,2259.46,883.1990000000224,4.042,3.373,5181.377000000095,6161.38,9310.98,1095,16.0,-19.920572,3.1294405,26.285124,Fresh
19.0,2256.61,878.3999999999069,4.042,3.374,5181.375,6154.37,9296.64,1094,17.0,-19.971482,3.1372046,26.330923,Fresh
20.0,2252.83,873.6010000000242,4.043,3.374,5174.334000000032,6147.33,9243.58,1093,17.9999923706055,-19.969783,3.1439166,26.350021,Fresh
21.0,2250.62,868.8009999999776,4.044,3.374,5160.289000000106,6140.29,9245.53,1092,19.0,-19.995238,3.1503782,26.235508,Fresh
22.0,2248.6,868.7969999997877,4.044,3.375,5160.320999999763,6133.34,9248.32,1091,20.0000076293945,-20.007117,3.1566896,26.231693,Fresh
23.0,2245.05,864.0,4.044,3.374,5153.413999999873,6126.4,9215.78,1090,21.0,-19.927359,3.1622496,26.17824,Fresh
24.0,2242.53,861.594000000041,4.044,3.376,5146.368000000017,6119.36,9190.62,1089,22.0,-19.95451,3.1679599,26.159166,Fresh
25.0,2239.56,859.1960000002291,4.044,3.377,5139.368000000017,6112.36,9179.43,1088,23.0,-19.973178,3.1731193,26.185894,Fresh
26.0,2237.35,856.7970000000205,4.044,3.377,5132.25,6105.27,9181.21,1087,24.0,-19.934148,3.178529,26.277494,Fresh
27.0,2236.26,856.7959999998566,4.045,3.377,5125.343999999808,6098.34,9198.3,1086,25.0,-19.979967,3.1831872,26.220226,Fresh
28.0,2234.38,852.0,4.045,3.378,5118.368000000017,6091.36,9176.38,1085,26.0000076293945,-19.991846,3.1878958,26.17824,Fresh
29.0,2232.16,852.0,4.045,3.378,5111.328000000212,6084.33,9145.58,1084,26.9999923706055,-19.985057,3.1927044,26.258396,Fresh
30.0,2230.78,849.6089999999385,4.045,3.377,5111.2660000000615,6084.25,9137.28,1083,28.0,-19.968086,3.1967118,26.361465,Fresh
31.0,2229.16,849.594000000041,4.045,3.377,5104.3589999999385,6077.38,9131.56,1082,29.0,-19.959602,3.2011697,26.231693,Fresh
32.0,2227.64,847.1720000002533,4.045,3.378,5097.344000000041,6077.34,9142.98,1081,30.0,-19.956207,3.2057281,25.865269,Fresh
